;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P30;P31;P32
P1;0;3;0;3;0;9;8;0;6;12;6;12;0;9;6;12;0;0;0;12;9;4;0;0;3;0;0;0
P2;3;0;0;9;3;6;3;0;6;3;9;12;0;12;9;12;0;0;0;12;6;3;0;3;3;0;0;0
P3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;9;8;8;0;0;0;4;0;0;0;0;0
P4;3;9;0;0;8;12;6;0;24;3;28;18;0;20;24;24;0;0;0;21;15;9;0;16;20;0;0;0
P5;0;3;0;8;0;4;0;0;12;0;12;9;0;12;4;12;0;0;0;12;3;3;0;0;12;0;0;0
P6;9;6;0;12;4;0;6;0;16;9;20;18;0;20;16;12;0;0;0;18;12;6;0;8;16;0;0;0
P7;8;3;0;6;0;6;0;0;9;8;6;8;0;9;6;12;0;0;0;12;9;0;0;3;6;0;0;0
P8;0;0;6;0;0;0;0;0;0;0;0;0;15;0;0;0;28;6;15;0;0;0;6;0;0;0;0;0
P9;6;6;0;24;12;16;9;0;0;9;28;18;0;24;20;18;0;0;0;27;18;6;0;8;20;0;0;0
P10;12;3;0;3;0;9;8;0;9;0;9;16;0;12;9;20;0;0;0;16;12;4;0;0;6;0;0;0
P11;6;9;0;28;12;20;6;0;28;9;0;21;0;28;28;30;0;0;0;30;18;9;0;12;28;0;0;0
P12;12;12;0;18;9;18;8;0;18;16;21;0;0;21;18;36;0;0;0;36;15;12;0;6;18;0;0;0
P13;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;15;8;20;0;0;0;0;0;0;0;0;0
P15;9;12;0;20;12;20;9;0;24;12;28;21;0;0;16;30;0;0;0;27;21;6;0;12;32;0;0;0
P16;6;9;0;24;4;16;6;0;20;9;28;18;0;16;0;21;0;0;0;21;15;9;0;12;16;0;0;0
P17;12;12;0;24;12;12;12;0;18;20;30;36;0;30;21;0;0;0;0;48;24;16;0;9;30;0;0;0
P18;0;0;9;0;0;0;0;28;0;0;0;0;15;0;0;0;0;6;18;0;0;0;6;0;0;0;0;0
P19;0;0;8;0;0;0;0;6;0;0;0;0;8;0;0;0;6;0;12;0;0;0;4;0;0;0;0;0
P20;0;0;8;0;0;0;0;15;0;0;0;0;20;0;0;0;18;12;0;0;0;0;8;0;0;0;0;0
P21;12;12;0;21;12;18;12;0;27;16;30;36;0;27;21;48;0;0;0;0;21;16;0;9;21;0;0;0
P22;9;6;0;15;3;12;9;0;18;12;18;15;0;21;15;24;0;0;0;21;0;6;0;9;15;0;0;0
P23;4;3;0;9;3;6;0;0;6;4;9;12;0;6;9;16;0;0;0;16;6;0;0;3;9;0;0;0
P24;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;0;6;4;8;0;0;0;0;0;0;0;0;0
P25;0;3;0;16;0;8;3;0;8;0;12;6;0;12;12;9;0;0;0;9;9;3;0;0;16;0;0;0
P26;3;3;0;20;12;16;6;0;20;6;28;18;0;32;16;30;0;0;0;21;15;9;0;16;0;0;0;0
P30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
